Keys,Français,English
M/T/Resume,Compris !,Got it !
M/T/MoveDesc,Déplacer vous sur l'astéroïde,Move on the asteroid
M/T/LookDesc,Regarder aux alentours en déplaçant la caméra,Look around by moving the camera
M/T/JumpDesc,Saute sur l'astéroïde devant toi,Jump on the asteroid in front of you
M/T/SingularityDesc,"La sphère que tu tiens est l'autre joueur, dans sa forme Singularité.
Tu peux le lancer. Essaye !","The sphere you hold is the other player, in the form of Singularity.
You can throw it. Try it !"
M/T/Goal,Objectif,Goal
M/T/GoalDesc,"Comme vous venez de le découvrir, lancer l'autre joueur vous fait échanger les rôles.
Après un lancer, le nouveau joueur humanoïde attire l'autre, désormais sous forme de singularité, automatiquement dans sa main, mais cela prend un certain temps.
La coopération est donc essentielle. Alternez, lancez-vous, et atteignez le bout de cette ceinture d'astéroïde, avant qu'il ne soit trop tard...
Le chrono au dessus de vous bah jsp hein","As you just discovered it, throwing other player makes you switch roles.
After a launch, the new humanoid player automatically draws the other, now as a Singularity, into their hand, but it takes a moment.
Then, cooperation is essential. Switch, throwing yourselves, and reach the end of this asteroids belt before it's too late..
Chrono ?"
M/T/DashDesc,"Tu peux aussi dasher tout droit, pour aller aussi vite que la lumière, même si c'est le comble pour un trou noir !
Tu récupères ton dash quand tu touches le sol.","You can also dash straight ahead, moving as fast as light. Quite ironic for a black hole ! (indicate timer)
You regain your dash when you touch ground."
M/T/ThrowAim,Viser puis tirer (Maintenir),Aim then throw (Hold)
M/T/ThrowAimDesc,"Maintiens enfoncée la touche pour tirer, cela va déclencher la visée.
Quand tu vises, tu déformes l'espace-temps ce qui te permet de ralentir et concentrer ton tir.
Au relâchement, la Singularité sera lancée.","Press and hold the throw button, which triggers the Aiming.
When you aim, you distort space-time, allowing you to slow down and concentrate your shot.
On release, the Singularity will be throwed."
M/T/AimDesc,"Tu peux aussi viser sans forcément lancer la Singularité au relâchement.
Tu peux changer le mode de visée (Maintenir ou Basculer) dans les paramètres.
Quand tu vises, tu déformes l'espace-temps ce qui te permet de ralentir et concentrer ton tir.","You can also aim without throwing the Singularity on release.
You can change the aim mode (Hold or Toggle) in settings.
When you aim, you distort space-time, allowing you to slow down and concentrate your shot."
M/T/UnmorphDesc,"Quand tu es en Singularité après avoir été lancée, tu peux en jaillir avec un saut ou un dash.
Cela qui te permet d'aller plus haut ou plus loin, avec plus de contrôle !
Cependant, tes actions sont contraintes par le lanceur : si ce dernier avait déjà sauté ou dashé, tu ne pourras pas jaillir de la singularité en sautant ou dashant.
Dans tous les cas, la Singularité s'arrête au bout d'un certain temps ou si elle se cogne contre un astéroïde.
Vous avez toutes les informations nécéssaire, maintenant, élancez-vous pour atteindre le bout de cette ceinture à temps pour sauver ces planètes de leur collision !","When you are in Singularity after been throwed, you can unmorph from it by jumping or dashing.
This let you go higher or farther with more control !
However, your actions are constrained by the thrower : if this one already has jumped or dashed, you won't be able to jump or dash.
In every case, the Singularity will stop after a certain amount of time or if it hits an asteroid.
You now have all the information you need, so, take off and reach the end of this belt in time to save those planets from colliding !"
